Date,Akagera STD,OLD MUTUAL,Virunga Lodge HP POC,BK HQ,BK HP II,Mille Collines,Akagera HP,Starbucks,Question Coffee,Hotel Talent Pool,Old Mutual,Kiss FM,Royal FM,AVIPRO,Prime Insurance,Kivu Noir Cafe,Jibu,WiredIn,Alliance for Healthy Communities,AmaliTech,Tropical Plaza,Hill View Hotel,Caferwa - Kivu Noir KSEZ
2-Jun,21,147,2.4,0,0,0,108,35,39,8.4,147,35,54.6,46,0,65,61,48,22,0,59,70,12
3-Jun,12,173.3,1.7,0.2,0,0,124,41,48,9.5,173.3,38,44.2,38,0,70,30,31,11,140,46,57,32
4-Jun,36,154.8,1.5,0,0,0,64,50,29,9,154.8,36,42,48,0,83,39,22,22,71,36,71,25
5-Jun,9.8,156,1.2,0.3,0.6,0,94,20,35,11,156,36,80,65,0,63,49,0.1,17,77,43,49,19
6-Jun,16.7,18,2.2,0,0,0,54,7.2,15,6.1,18,22,43,4,0,91,4.5,0,7.4,1.6,57,54,0.8
7-Jun,3.1,21,1.1,0,0,0,29,11,23,0,21,4.5,31,6.4,0,76,0.7,0,5.8,1.2,60,57,0.7
8-Jun,,,,,,,,,,,,,,14,,,,,,,,,
9-Jun,,,,,,,,,,,,,,53,,,,,,,,,
10-Jun,,,,,,,,,,,,,,40,,,,,,,,,
11-Jun,,,,,,,,,,,,,,31,,,,,,,,,
12-Jun,,,,,,,,,,,,,,44,,,,,,,,,
